Unnamed: 0,price,bed,bath,feet,address,new_flag,link,latitude,longitude
30,1075000,,2,,"661 Ralph Ave,Brooklyn, NY 11212",False,https://www.trulia.com/p/ny/brooklyn/661-ralph-ave-brooklyn-ny-11212--2009668197,40.66665485,-73.92235841149906
31,725000,2,2,1035,"800 E 17th St Brooklyn, NY 11230",False,https://www.trulia.com/p/ny/brooklyn/800-e-17th-st-4c-brooklyn-ny-11230--2173672603,40.6311818,-73.96093692247888
32,800000,5,3,2000,"716 Logan St,Brooklyn, NY 11208",False,https://www.trulia.com/p/ny/brooklyn/716-logan-st-brooklyn-ny-11208--2009628859,40.66839895,-73.87449005000002
33,767000,4,3,,"133-24 222nd Street,Springfield Gardens, NY 11413",True,https://www.trulia.com/p/ny/springfield-gardens/133-24-222nd-st-springfield-gardens-ny-11413--2396846130,40.679012900000004,-73.74728215213591
34,699000,4,1,1248,"132 E 28th St,Brooklyn, NY 11226",False,https://www.trulia.com/p/ny/brooklyn/132-e-28th-st-brooklyn-ny-11226--2089003039,40.64602145,-73.95120175545057
35,469000,2,1,871,"2108 Dorchester Rd Brooklyn, NY 11226",False,https://www.trulia.com/p/ny/brooklyn/2108-dorchester-rd-4a-brooklyn-ny-11226--2009799280,40.64195046938776,-73.95815846938775
36,1299000,6,3,2600,"2639 Haring St,Brooklyn, NY 11235",False,https://www.trulia.com/p/ny/brooklyn/2639-haring-st-brooklyn-ny-11235--2009868060,40.58873245,-73.9384061681068
37,4950000,2,2,,"225 Central Park N New York, NY 10024",False,https://www.trulia.com/p/ny/new-york/225-central-park-n-1001-new-york-ny-10024--2478479456,40.7996582244898,-73.95605134693878
38,4800000,5,4,3300,"134 Manhattan Ave,New York, NY 10025",False,https://www.trulia.com/p/ny/new-york/134-manhattan-ave-new-york-ny-10025--2008651329,40.79826215,-73.9614932652216
39,1250000,1,1,900,"158 E 22nd St New York, NY 10010",False,https://www.trulia.com/p/ny/new-york/158-e-22nd-st-1-new-york-ny-10010--2478765543,40.7381823,-73.98416434739158
40,599900,4,2,2360,"1056 Wood Park Drive,Baldwin, NY 11510",True,https://www.trulia.com/p/ny/baldwin/1056-wood-park-dr-baldwin-ny-11510--2010287917,40.6819637,-73.6020481
41,595000,3,1,1242,"56 Wellington Road,Elmont, NY 11003",True,https://www.trulia.com/p/ny/elmont/56-wellington-rd-elmont-ny-11003--2009424737,40.70772225,-73.72380988497706
42,239000,1,1,981,"900 Palmer Road UNIT 8A,Bronxville, NY 10708",True,https://www.trulia.com/p/ny/bronxville/900-palmer-rd-8a-bronxville-ny-10708--2009226111,,
43,278888,2,1,,"221 Middle Neck Road UNIT K1,Great Neck, NY 11021",True,https://www.trulia.com/p/ny/great-neck/221-middle-neck-rd-k1-great-neck-ny-11021--2198093101,,
44,2895000,6,5,5270,"48 Eton Road,Larchmont, NY 10538",True,https://www.trulia.com/p/ny/larchmont/48-eton-rd-larchmont-ny-10538--2009054231,40.9475257,-73.7540815
45,149000,1,1,913,"555 Bronx River Road UNIT 6R,Yonkers, NY 10704",True,https://www.trulia.com/p/ny/yonkers/555-bronx-river-rd-6r-yonkers-ny-10704--2174391693,,
46,1849000,4,3,2221,"10 Dante Street,Larchmont, NY 10538",True,https://www.trulia.com/p/ny/larchmont/10-dante-st-larchmont-ny-10538--2159369599,40.9399682,-73.7602442
