price,bed,bath,feet,address,new_flag,company,latitude,longitude,distance
2300000,6.0,5.0,2868.0,"123 Bay 10th St,Brooklyn, NY 11228",True,BEN BAY REALTY CO,40.6083458,-74.01119295987178,19.959441750928583
550000,2.0,2.0,918.0,"84-10 101 Street UNIT 2E,Richmond Hill, NY 11418",True,HALO REALTY PROPERTIES LLC,,,
888168,3.0,2.0,1786.0,"2327 E 18th St,Brooklyn, NY 11229",True,PRIDE ESTATES,40.59393745,-73.95232451785714,21.27003160894267
699900,2.0,2.0,1056.0,"939 E 43rd St,Brooklyn, NY 11210",True,EXIT ALL SEASONS REALTY,40.63209095,-73.93482551454326,17.224055006469964
950000,1.0,1.0,685.0,"225 Rector Pl #9D,New York, NY 10280",True,PD PROPERTIES LLC,40.7092957,-74.0161233,9.336444064146749
3350000,3.0,3.0,1980.0,"520 W 19th St #5C,New York, NY 10011",True,COMPASS,40.74546375,-74.00713068884602,5.488403262816881
365000,2.0,1.0,963.0,"825 Morrison Ave #10L,Bronx, NY 10473",True,COMPASS,40.82056995,-73.87318743050017,8.939870930994266
1299000,3.0,2.0,,"222 E 82nd St #2C,New York, NY 10028",True,BOND NEW YORK,40.7755871,-73.95487650321877,1.547576843232087
824000,2.0,2.0,,"110-11 Queens Blvd #20K,Forest Hills, NY 11375",True,BENJAMIN REALTY SINCE 1980,,,
685000,3.0,2.0,,"5900 Arlington Ave #16U,Bronx, NY 10471",True,ARGO RESIDENTIAL,40.909105100000005,-73.9054834157342,14.755084711955238
399000,1.0,1.0,1000.0,"97-11 63rd Dr #E7,Rego Park, NY 11374",True,BROWN HARRIS STEVENS FOREST HILLS LLC,40.7307438,-73.8601777461798,10.94345308754964
475000,2.0,2.0,1200.0,"555 Kappock St #2L,Bronx, NY 10463",True,COMPASS,40.8779467,-73.91703031266044,11.181307956315012
1250000,2.0,2.0,,"35 Sutton Pl #18F,New York, NY 10022",True,DOUGLAS ELLIMAN,40.7583951,-73.9596947,3.0519858817506544
575000,1.0,1.0,739.0,"133 Beach 116 St #2L,Rockaway Park, NY 11694",True,DOUGLAS ELLIMAN,,,
1149000,3.0,3.0,1440.0,"524 Beach 138 St,Rockaway Park, NY 11694",True,BROWN HARRIS STEVENS,,,
1829000,7.0,3.0,3166.0,"59-75 Fresh Pond Rd,Maspeth, NY 11378",True,CENTURY HOMES REALTY GROUP LLC,,,
1875000,5.0,3.0,3000.0,"31-47 29th St,Astoria, NY 11106",True,NY SPACE FINDERS INC.,40.76379355,-73.92583130451389,4.2940202611353255
2225000,4.0,2.0,1600.0,"250 E 87th St #30AJ,New York, NY 10128",True,COMPASS,40.77887713333333,-73.95224673333334,1.5195368294386598
418000,2.0,2.0,1138.0,"100 Colfax Ave #2J,Staten Island, NY 10306",True,MOMENTUM REAL ESTATE LLC,40.5795929,-74.1074795,25.67535273540613
400000,2.0,2.0,853.0,"1286 E 91st St #202,Brooklyn, NY 11236",True,EXCELL CHOICE REALTY,40.63828245,-73.90283943469908,17.215278564245327
